t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19
2.999999999999999889e-01,3.013136815147687275e-01,9.962346761960815256e-01,1.370792349108386876e+00,-5.459114507775481018e-01,8.177023381870235363e-01,-2.671087146507134524e-01,-6.987371707016810929e-02,-9.601552939394494834e-02,6.795303633463402326e-05,1.084274552760518873e+00,1.433699108903888075e-01,-1.722029101660518535e-01,-3.044682054885881617e-01,3.810440245129217418e-01,-8.872307226422739834e-01,-5.287506917890683056e-01,-5.819342411342190435e-02,-5.877348718853988574e-01,-1.329785997777294670e-01,-6.290265206156130384e-01
3.099999999999999978e-01,3.102396626426610071e-01,1.006954942329887803e+00,1.382858364073374702e+00,-5.561248378301566486e-01,8.288618980210068488e-01,-2.714218378828455180e-01,-6.912050226992524915e-02,-9.594256474827257686e-02,2.616826085922441085e-03,1.094972561384746967e+00,1.493254057381559197e-01,-1.741118700704464284e-01,-3.096895203036624800e-01,3.910477801547622145e-01,-9.007455022363412001e-01,-5.386709481118164833e-01,-5.713730436469114521e-02,-5.986165487220511672e-01,-1.338691954699830211e-01,-6.405011689193873536e-01
3.200000000000000067e-01,3.198087265842113891e-01,1.018481353237896680e+00,1.395737513418082720e+00,-5.672780727496740116e-01,8.407380851780867914e-01,-2.761946693592663427e-01,-6.832753854891071565e-02,-9.589540059008030970e-02,5.371827050396509907e-03,1.106520415840125171e+00,1.557604853787398769e-01,-1.762421802976495699e-01,-3.154582168837095080e-01,4.017263911835113332e-01,-9.150567654669098383e-01,-5.495157898388708384e-01,-5.601263026683922508e-02,-6.104660027013842916e-01,-1.348800431069605288e-01,-6.529580718264511585e-01
3.300000000000000155e-01,3.300178523560401422e-01,1.030819551480784080e+00,1.409363193909275225e+00,-5.794082295222138246e-01,8.533261156944070835e-01,-2.814559416180124618e-01,-6.748599591453380286e-02,-9.586937691224871327e-02,8.349882567538421951e-03,1.118920098403325403e+00,1.626919357840944380e-01,-1.786036348072471969e-01,-3.218094401039239272e-01,4.130658011056045353e-01,-9.300953074324602721e-01,-5.613249504372935794e-01,-5.480889016200396480e-02,-6.233120455643805791e-01,-1.360131683487312004e-01,-6.664156137600302232e-01
3.400000000000000244e-01,3.408623845756871273e-01,1.043967492681431297e+00,1.423660678350215258e+00,-5.925457135027495381e-01,8.666201831971698244e-01,-2.872365795203777883e-01,-6.658749529805106648e-02,-9.586052259618627058e-02,1.156776889606827945e-02,1.132162919213984154e+00,1.701355301253880958e-01,-1.812075836335436951e-01,-3.287803721971873094e-01,4.250510725429321734e-01,-9.457818741067575141e-01,-5.741324194386330237e-01,-5.351593640567531979e-02,-6.371745948553450001e-01,-1.372716944124579008e-01,-6.808812762321755363e-01
3.500000000000000333e-01,3.523373909364660439e-01,1.057912835432413434e+00,1.438547937174695202e+00,-6.067113648258475322e-01,8.806126885954007610e-01,-2.935708444554145369e-01,-6.562582887059173475e-02,-9.586732544318765648e-02,1.504065121938093913e-02,1.146226521841768431e+00,1.781056259117377860e-01,-1.840686587779357952e-01,-3.364109613485760653e-01,4.376684777701551621e-01,-9.620284230457311070e-01,-5.879637237054987642e-01,-5.212567459593110686e-02,-6.520614967557718522e-01,-1.386616296423119066e-01,-6.963484287094491298e-01
3.599999999999999867e-01,3.647291603975124086e-01,1.073116242530704589e+00,1.454233074359571720e+00,-6.224307753590069270e-01,8.957434463648699108e-01,-3.007584439562752676e-01,-6.458067342198185734e-02,-9.590873288047453704e-02,1.888101183538245381e-02,1.161551097089134066e+00,1.868353186851267889e-01,-1.873298826042809895e-01,-3.450569026655544436e-01,4.512201974291511486e-01,-9.790967950442762691e-01,-6.033452990447991660e-01,-5.060100468738495255e-02,-6.684885207914524896e-01,-1.402607825886339477e-01,-7.133133864770264676e-01
3.699999999999999956e-01,3.774594974460790953e-01,1.088570728497988860e+00,1.470039621373443461e+00,-6.386684159389668380e-01,9.110960622581620871e-01,-3.083300606845306158e-01,-6.349110292798910982e-02,-9.596204888947867939e-02,2.289887756770678240e-02,1.177129707804481340e+00,1.958998926542803720e-01,-1.907756783608541007e-01,-3.541502495270123507e-01,4.650765707258330828e-01,-9.961710985552753028e-01,-6.192595866563090912e-01,-4.900771353882583253e-02,-6.853887767620959748e-01,-1.419549497305505337e-01,-7.306960084107289033e-01
3.800000000000000044e-01,3.908145618214645678e-01,1.104711252398371091e+00,1.486180608773653322e+00,-6.559043697517695781e-01,9.270992499065041637e-01,-3.165872552971096821e-01,-6.235033391499521932e-02,-9.605949773915574419e-02,2.719345180189758696e-02,1.193374152717826764e+00,2.055230343830148632e-01,-1.945597754728017326e-01,-3.640430319265535730e-01,4.795444446220918366e-01,-1.013511594611527622e+00,-6.361893081232343761e-01,-4.732228508280450496e-02,-7.032298868142609072e-01,-1.438343628288547560e-01,-7.489444842055972273e-01
3.900000000000000133e-01,4.047974647237266854e-01,1.121477401049484346e+00,1.502584668149087976e+00,-6.740868593301755363e-01,9.437231129443677258e-01,-3.255836231468927644e-01,-6.117729079333627390e-02,-9.622647820763097215e-02,3.176045606898025148e-02,1.210210206584354298e+00,2.157117867914089271e-01,-1.987257757594064200e-01,-3.747858673411264552e-01,4.946248682576279698e-01,-1.031022867545043686e+00,-6.540917102660126492e-01,-4.556087081881526890e-02,-7.219396018501055279e-01,-1.459336902272824477e-01,-7.679695195954624465e-01
